Work,Recreate,Shop,Eatout,Percent
0,0,0,1,0.031914894
0,0,1,0,0.021276596
0,0,2,0,0.010638298
0,1,0,0,0.095744681
0,1,0,1,0.053191489
0,1,1,0,0.042553191
0,2,0,0,0.021276596
0,2,0,1,0.010638298
1,0,0,0,0.29787234
1,0,0,1,0.212765957
1,0,0,2,0.021276596
1,0,1,0,0.042553191
1,0,1,1,0.031914894
1,1,0,0,0.063829787
1,1,0,1,0.010638298
1,1,1,0,0.010638298
2,0,0,0,0.010638298
2,2,0,0,0.010638298
