"Purpose","Inbound","StopNumber","MultipleStops","StopPurp1","StopPurp2","StopPurp3","StopPurp4","StopPurp5","StopPurp6","StopPurp7"
1,0,1,0,0,0,0,0.534688522,0.256167454,0.209144024,0
1,0,1,1,0,0,0,0.432349206,0.368442311,0.199208483,0
1,0,2,1,0,0,0,0.297815165,0.424968887,0.277215948,0
1,0,3,1,0,0,0,0.0704862830000001,0.577039389,0.352474328,0
1,0,4,1,0,0,0,0.226077189,0.57808393,0.195838881,0
1,1,1,0,0,0,0,0.236582022,0.498694657,0.264723321,0
1,1,1,1,0,0,0,0.268873368,0.473801145,0.257325487,0
1,1,2,1,0,0,0,0.19535987,0.525556667,0.279083463,0
1,1,3,1,0,0,0,0.241804233,0.529535113,0.228660654,0
1,1,4,1,0,0,0,0.210359886,0.438735136,0.350904978,0
2,0,1,0,0,0,0,0.299662664,0.416512004,0.283825332,0
2,0,1,1,0,0,0,0.310396907,0.221363669,0.468239424,0
2,0,2,1,0,0,0,0.206939226,0.516157417,0.276903357,0
2,0,3,1,0,0,0,0.11342861,0.251653911,0.634917479,0
2,0,4,1,0,0,0,0.043789867,0.088963503,0.86724663,0
2,1,1,0,0,0,0,0.123219988,0.487536478,0.389243534,0
2,1,1,1,0,0,0,0.138296577,0.506544375,0.355159048,0
2,1,2,1,0,0,0,0.200921578,0.548642833,0.250435589,0
2,1,3,1,0,0,0,0.341328482,0.456218587,0.202452931,0
2,1,4,1,0,0,0,0.282798717,0.503995652,0.213205631,0
3,0,1,0,0,0,0,0.781100725,0.064607342,0.154291933,0
3,0,1,1,0,0,0,0.692853826,0.008917394,0.29822878,0
3,0,2,1,0,0,0,0.847029889,0.056847314,0.096122797,0
3,0,3,1,0,0,0,0.0330281330000001,0.547970177,0.41900169,0
3,0,4,1,0,0,0,0.498927434,0.501072566,0,0
3,1,1,0,0,0,0,0.326479197,0.250846116,0.422674687,0
3,1,1,1,0,0,0,0.319759308,0.247646376,0.432594316,0
3,1,2,1,0,0,0,0.224227296,0.353014454,0.42275825,0
3,1,3,1,0,0,0,0.104827649,0.506810432,0.388361919,0
3,1,4,1,0,0,0,0.0559000669999999,0.723494511,0.220605422,0
4,0,1,0,0,0,0,0.590954422,0.319180571,0.089865007,0
4,0,1,1,0,0,0,0.508735481,0.328379113,0.162885406,0
4,0,2,1,0,0,0,0.391815496,0.254789161,0.353395343,0
4,0,3,1,0,0,0,0.170732288,0.47084493,0.358422782,0
4,0,4,1,0,0,0,0.264427502,0.472187174,0.263385324,0
4,1,1,0,0,0,0,0.484888815,0.27901554,0.236095645,0
4,1,1,1,0,0,0,0.322374187,0.407424148,0.270201665,0
4,1,2,1,0,0,0,0.328785577,0.491816987,0.179397436,0
4,1,3,1,0,0,0,0.315693185,0.553752549,0.130554266,0
4,1,4,1,0,0,0,0.351569859,0.581478845,0.066951296,0
5,0,1,0,0,0,0,0.158796955,0.593452676,0.247750369,0
5,0,1,1,0,0,0,0.119837104,0.684212615,0.195950281,0
5,0,2,1,0,0,0,0.068790012,0.706283118,0.22492687,0
5,0,3,1,0,0,0,0.074695758,0.70387158,0.221432662,0
5,0,4,1,0,0,0,0.022942189,0.699872382,0.277185429,0
5,1,1,0,0,0,0,0.050457643,0.696845849,0.252696508,0
5,1,1,1,0,0,0,0.057974638,0.718061246,0.223964116,0
5,1,2,1,0,0,0,0.068127871,0.711607219,0.22026491,0
5,1,3,1,0,0,0,0.068501193,0.682279848,0.249218959,0
5,1,4,1,0,0,0,0.0882210320000001,0.734308709,0.177470259,0
6,0,1,0,0,0,0,0.228330047,0.318533515,0.453136438,0
6,0,1,1,0,0,0,0.208628751,0.439806377,0.351564872,0
6,0,2,1,0,0,0,0.127924256,0.394508286,0.477567458,0
6,0,3,1,0,0,0,0.132851634,0.409341402,0.457806964,0
6,0,4,1,0,0,0,0.041640762,0.679333403,0.279025835,0
6,1,1,0,0,0,0,0.105472072,0.455577081,0.438950847,0
6,1,1,1,0,0,0,0.080831356,0.496210652,0.422957992,0
6,1,2,1,0,0,0,0.116356813,0.549147519,0.334495668,0
6,1,3,1,0,0,0,0.153637265,0.502316734,0.344046001,0
6,1,4,1,0,0,0,0.070950471,0.509260841,0.419788688,0
7,0,1,0,0,0,0,0.133386215,0.428386477,0.438227308,0
7,0,1,1,0,0,0,0.094780213,0.396060797,0.50915899,0
7,0,2,1,0,0,0,0.0356198120000001,0.661285477,0.303094711,0
7,0,3,1,0,0,0,0,0.949435354,0.050564646,0
7,1,1,0,0,0,0,0.0496528200000001,0.450683197,0.499663983,0
7,1,1,1,0,0,0,0.27002715,0.417122551,0.312850299,0
7,1,2,1,0,0,0,0.411873435,0.480598436,0.107528129,0
7,1,3,1,0,0,0,0.035843546,0.638149861,0.326006593,0
