RemainingLow,RemainingHigh,StopNumber,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0.169495238,0.830504762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0.371092702,0.628907298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0.348858585,0.651141415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0.296754422,0.703245578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0.002946167,0.369969418,0.627084416,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,0.097679592,0.619377693,0.282942715,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,0.150221513,0.634299937,0.21547855,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,0.185994131,0.556956894,0.257048975,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,0.000191142,0.063257974,0.458491198,0.478059685,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,0.113066245,0.274863694,0.416158272,0.195911789,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,0.09314474,0.330537205,0.42733707,0.148980985,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,0.082397023,0.351912818,0.507265849,0.058424309,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,0,0.016295892,0.125102414,0.456009349,0.402592345,0,0,0,0,0,0,0,0,0,0,0
4,4,2,0.092804029,0.198874733,0.295091594,0.242279535,0.170950109,0,0,0,0,0,0,0,0,0,0,0
4,4,3,0.071293479,0.29148352,0.203662486,0.329689975,0.10387054,0,0,0,0,0,0,0,0,0,0,0
4,4,4,0.040256197,0.206348696,0.417925769,0.289551992,0.045917346,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0,0.004394794,0.053321341,0.193126225,0.47848372,0.27067392,0,0,0,0,0,0,0,0,0,0
5,5,2,0.099120354,0.156577105,0.191927009,0.225982337,0.199023772,0.127369422,0,0,0,0,0,0,0,0,0,0
5,5,3,0.193515991,0.180891396,0.117790864,0.235382988,0.202911192,0.069507569,0,0,0,0,0,0,0,0,0,0
5,5,4,0.073118515,0.343761422,0.172690117,0.178827859,0.218746338,0.01285575,0,0,0,0,0,0,0,0,0,0
6,6,1,0,0.000693213,0.02350492,0.108297464,0.165554263,0.422306999,0.279643141,0,0,0,0,0,0,0,0,0
6,6,2,0.044781722,0.248556662,0.120618346,0.129584083,0.157265682,0.276887364,0.02230614,0,0,0,0,0,0,0,0,0
6,6,3,0.152572883,0.165685652,0.127776391,0.154580432,0.10272953,0.145547755,0.151107357,0,0,0,0,0,0,0,0,0
6,6,4,0.198824259,0.143148565,0.104002573,0.140425616,0.247786446,0.165812541,0,0,0,0,0,0,0,0,0,0
7,7,1,0,0,0.008095659,0.075229715,0.161782654,0.116545244,0.382545852,0.255800876,0,0,0,0,0,0,0,0
7,7,2,0.015795068,0.093906842,0.177468046,0.122441272,0.1385854,0.147050871,0.168152123,0.136600378,0,0,0,0,0,0,0,0
7,7,3,0.078058382,0.101912127,0.1732941,0.155365453,0.141211886,0.082772539,0.231632314,0.035753199,0,0,0,0,0,0,0,0
