NextGen_TAZ,HotelRoom_Share
4611,0.008602915037326698
4615,0.022076075364379666
4616,0.08873089228581585
4625,0.015748311411304658
4629,0.011695698542481337
4633,0.048346960540348385
4641,0.0744045503021685
4642,0.027337362246711697
4643,0.005794525417703519
4644,0.02619978670458585
4646,0.12651972982580875
4649,0.007820831852115179
4662,0.049768929968005686
4667,0.01119800924280128
4671,0.03334518307856381
4674,0.05275506576608603
4681,0.021791681478848204
4682,0.03764664059722716
4687,0.11272662637753288
4691,0.07525773195876288
4694,0.010095982936366868
4695,0.09196587273373623
4700,0.010487024528972627
4708,0.038286526839672944
