TimeSeg_96,Vis_Long,Vis_Short,Res_Long,Res_Short,3_Axles,4_Axles,5p_Axles
1,0.0024544866941461295,0.0036222606415967197,0.0014132382553821558,0.0028744567079953113,0.001564661498953849,0.0020040565783529993,0.00499450859661703
2,0.00153841046150226,0.0026652414503021394,0.0010645330705936664,0.0023264645163006987,0.0015236133990205233,0.0019080582087719106,0.004848621812190485
3,0.0013439640273673246,0.002205844411551661,0.0009820661873179597,0.0020448740682435644,0.00153535238834725,0.0019414039207515336,0.004880389453690403
4,0.0013181903173299521,0.0019093036285867157,0.0008814643252697261,0.0018053584180751697,0.0014694452521926207,0.0018848611917426075,0.004802192182305991
5,0.0012160085287526263,0.0017402149262764662,0.0008516079472122648,0.0016629386419645643,0.0014613123576263918,0.0018648744761771813,0.004752976774628426
6,0.0011429425150147252,0.001490780035485776,0.0008051011715837374,0.0014687953053925298,0.0014630770422964226,0.0018380529252370497,0.004731374778408483
7,0.0010708186094029132,0.0013685991176406414,0.0007996934165598673,0.001365968637562491,0.0014929999562665103,0.001863217546389374,0.0047534166342799635
8,0.0010474456798436598,0.001261677936708394,0.0008266687248754439,0.0013279962383028628,0.0014955318951409024,0.0019513454994783779,0.004834301936868215
9,0.0012266354359251658,0.0011493119385323613,0.0008519404562692094,0.0012307016318981194,0.0014748927570435854,0.0020340884307570076,0.0049359583896679505
10,0.0011912488163653007,0.0009739141622468656,0.0009045096834422704,0.0010950503474572012,0.001492232702062149,0.0021614649081946984,0.0050771044645168155
11,0.0012148263141477454,0.0009152444392912864,0.0009311285138857405,0.0010301181776418346,0.0015928197282539058,0.0022382014689925267,0.00520329531121341
12,0.0015671363208729608,0.0009019330360025397,0.000988052786789173,0.0010000661357476067,0.001729160800368896,0.002257981068334477,0.00531976037228157
13,0.001834565268591569,0.00095556680468085,0.0013578890308879822,0.0011077728437125507,0.0018683407130400222,0.0023679597830001905,0.00561759422966695
14,0.001940945718046599,0.0009173072080544424,0.0014526128276771957,0.0010660207776326184,0.0021899736755082483,0.002717364852004067,0.006001884945226721
15,0.002117056405066263,0.0009789006704658256,0.0017270104093703926,0.0011444024921767222,0.002556491008931606,0.002964661622834315,0.006366870709413466
16,0.0026249814763430763,0.0011502151120094252,0.0020281023615162665,0.0011853414101281176,0.0027125505140986796,0.0032085409759772107,0.006741191272871724
17,0.0027446020258672225,0.001232699756888301,0.0024765606335618432,0.001302443256585092,0.0030251298769554433,0.0035044065012125617,0.007184129941969805
18,0.003147798830578841,0.0014002105296093321,0.0031237066368068607,0.0016142565495697932,0.0034869401825604654,0.004013291062292897,0.007679802895957748
19,0.0035736886036930094,0.001608190227658176,0.003899700405210055,0.0020104241607262607,0.004382479289890889,0.004698535087662977,0.00829770795977845
20,0.0039680736718558365,0.0017958158011941337,0.005006645827950437,0.002328091595926816,0.004817512423763704,0.005074036800824819,0.008950752922427524
21,0.004539409365350987,0.001974534664742294,0.006091420297632529,0.00294209640024779,0.0053689380204381175,0.005457512488590485,0.009484693666099215
22,0.005284348213821198,0.002257961366974829,0.007361974139299345,0.0039005373907426365,0.006603987113198383,0.0062501462758328295,0.01024530875019647
23,0.005783608816346803,0.002578756645519191,0.00885507172550881,0.005127312395140363,0.0083062172909942,0.007391667341520362,0.01095064813808387
24,0.006818735894987782,0.003184389503129828,0.010204757979675872,0.00628229907459317,0.010591867565786294,0.00886882024735062,0.011464550830963304
25,0.007818265041308664,0.0038292367628911506,0.011845950908776187,0.008137687870634862,0.01262455412940049,0.010610771244894844,0.011893267371328346
26,0.008162731760949083,0.004703290957741204,0.012786433461582848,0.01057826139434059,0.015175674358901568,0.012943728386127604,0.012447295039086906
27,0.009538590025775355,0.005839096414675401,0.014292942719331066,0.013058894217605702,0.017014475785073684,0.015529056645665772,0.01287659805898733
28,0.010849586536565137,0.007075750294282293,0.015402565087327569,0.014325521932547486,0.018197965395300875,0.01752596771430885,0.013296859519383931
29,0.01249594305326796,0.008185412119254392,0.017093001437418764,0.015740268529957368,0.018291570408232944,0.01896356142145521,0.013500758904518786
30,0.013566338902213633,0.009460547332505042,0.01755889695705513,0.01672433747012313,0.018818136968686054,0.019953784085893583,0.013518255543991048
31,0.01548505200680273,0.010867496163316222,0.01834188075135409,0.017681904734855636,0.019061279826048126,0.02069608863083128,0.013507161306113385
32,0.017422666212990573,0.011862047851618407,0.01840632786484229,0.016642676218451093,0.019244346679208716,0.02085701793647207,0.013659694858607603
33,0.01955143740555115,0.013054267030871333,0.019521640080556093,0.016133619431765406,0.019378309263290185,0.020732748202386516,0.014049752622931976
34,0.020747182904094115,0.01403394350085553,0.019641586244861554,0.015934174190832196,0.01924089403528909,0.020027310345227534,0.014317822643896664
35,0.02262845746974324,0.015147597620109024,0.020508738462728507,0.01624584409599298,0.019150281313754028,0.019581596232307357,0.014854011559120656
36,0.023987743245972106,0.015719555960592116,0.02083745239129324,0.015204384330876104,0.019165549672420817,0.01913153267869418,0.015537651204198881
37,0.026040518952174303,0.01634088911693971,0.021613109435906764,0.014408145372937263,0.01925416753302454,0.019199052567547333,0.01618453813172643
38,0.026814559669371706,0.0169808760049307,0.021465486797612527,0.01421256743628902,0.019149820961231412,0.01887822953738313,0.01658124266411848
39,0.027675699751488255,0.01775079746385325,0.021899553683761064,0.014599110962621849,0.019176061055020566,0.01872662046179876,0.016817691663467096
40,0.02826080394543585,0.01820113042521812,0.02153956976350342,0.013982644259619816,0.01919025525780125,0.01846969278657688,0.01699026326675357
