Market,DMA,CBM,Description,NextGen_TAZ,Count2023,share,Count2023,,,
Auto,1,0,I-10,11504,36000,0.22543678376855156,36000,0.22543678376855156,159690,285000
Auto,2,0,I-75,11548,48054,0.3009205335337216,48054,0.3009205335337216,,
Auto,3,0,I-95,11560,75636,0.47364268269772686,75636,0.47364268269772686,,
Auto,1,1,SR 2,11533,550,0.007546548483143755,550,0.007546548483143755,72881,
Auto,1,1,,11532,500,0.006860498621039777,500,0.006860498621039777,,
Auto,1,1,SR 71,11531,1050,0.014407047104183533,1050,0.014407047104183533,,
Auto,1,1,,11530,375,0.005145373965779833,375,0.005145373965779833,,
Auto,1,1,US 231/SR 75,11529,15876,0.217834552215255,15876,0.217834552215255,,
Auto,1,1,SR 77,11527,1476,0.020252191929309424,1476,0.020252191929309424,,
Auto,1,1,CR 171 + CR 173 (split 1450),11526,800,0.010976797793663643,800,0.010976797793663643,,
Auto,1,1,FL 79 + CR 173 (split 1450),11525,2050,0.028128044346263086,2050,0.028128044346263086,,
Auto,1,1,,11524,275,0.0037732742415718776,275,0.0037732742415718776,,
Auto,1,1,,11523,350,0.004802349034727844,350,0.004802349034727844,,
Auto,1,1,,11522,275,0.0037732742415718776,275,0.0037732742415718776,,
Auto,1,1,,11521,475,0.0065174736899877884,475,0.0065174736899877884,,
Auto,1,1,CR 185,11520,850,0.011662847655767621,850,0.011662847655767621,,
Auto,1,1,,11519,800,0.010976797793663643,800,0.010976797793663643,,
Auto,1,1,,11518,1300,0.01783729641470342,1300,0.01783729641470342,,
Auto,1,1,,11517,2000,0.02744199448415911,2000,0.02744199448415911,,
Auto,1,1,US 331/SR 85,11516,2557,0.03508458994799742,2557,0.03508458994799742,,
Auto,1,1,,11515,1450,0.019895446001015355,1450,0.019895446001015355,,
Auto,1,1,,11514,2000,0.02744199448415911,2000,0.02744199448415911,,
Auto,1,1,SR 189,11513,2000,0.02744199448415911,2000,0.02744199448415911,,
Auto,1,1,,11512,2025,0.0277850194152111,2025,0.0277850194152111,,
Auto,1,1,,11511,3000,0.04116299172623866,3000,0.04116299172623866,,
Auto,1,1,SR 89,11510,575,0.007889573414195744,575,0.007889573414195744,,
Auto,1,1,US 29,11509,5750,0.07889573414195744,5750,0.07889573414195744,,
Auto,1,1,US 29,11508,800,0.010976797793663643,800,0.010976797793663643,,
Auto,1,1,,11507,2938,0.04031228989722973,2938,0.04031228989722973,,
Auto,1,1,,11506,250,0.0034302493105198887,250,0.0034302493105198887,,
Auto,1,1,,11505,2150,0.02950014407047104,2150,0.02950014407047104,,
Auto,1,1,US 90,11503,3496,0.04796860635831012,3496,0.04796860635831012,,
Auto,1,1,US 98,11502,7388,0.10137072762448375,7388,0.10137072762448375,,
Auto,1,1,AL 182,11501,7500,0.10290747931559666,7500,0.10290747931559666,,
Auto,2,2,,11554,400,0.011376564277588168,400,0.011376564277588168,35160,
Auto,2,2,US 441,11553,375,0.010665529010238909,375,0.010665529010238909,,
Auto,2,2,,11552,632,0.017974971558589306,632,0.017974971558589306,,
Auto,2,2,,11551,800,0.022753128555176336,800,0.022753128555176336,,
Auto,2,2,US 41 (split 1300),11550,1400,0.03981797497155859,1400,0.03981797497155859,,
Auto,2,2,US 41 (split 1300),11549,300,0.008532423208191127,300,0.008532423208191127,,
Auto,2,2,FL 145,11547,1900,0.0540386803185438,1900,0.0540386803185438,,
Auto,2,2,FL 53,11546,500,0.01422070534698521,500,0.01422070534698521,,
Auto,2,2,,11545,225,0.0063993174061433445,225,0.0063993174061433445,,
Auto,2,2,US 221,11544,675,0.019197952218430035,675,0.019197952218430035,,
Auto,2,2,CR 149,11543,250,0.007110352673492605,250,0.007110352673492605,,
Auto,2,2,US 19,11542,4500,0.12798634812286688,4500,0.12798634812286688,,
Auto,2,2,,11541,175,0.004977246871444824,175,0.004977246871444824,,
Auto,2,2,US 319,11540,11500,0.32707622298065986,11500,0.32707622298065986,,
Auto,2,2,,11539,1000,0.02844141069397042,1000,0.02844141069397042,,
Auto,2,2,US 27,11538,7200,0.20477815699658702,7200,0.20477815699658702,,
Auto,2,2,CR 159 + CR 65,11537,500,0.01422070534698521,500,0.01422070534698521,,
Auto,2,2,SR 267,11536,678,0.019283276450511946,678,0.019283276450511946,,
Auto,2,2,,11535,350,0.009954493742889647,350,0.009954493742889647,,
Auto,2,2,,11534,800,0.022753128555176336,800,0.022753128555176336,,
Auto,2,2,C269A,11528,1000,0.02844141069397042,1000,0.02844141069397042,,
Auto,3,3,US 17,11559,2300,0.13304795511077688,2300,0.13304795511077688,17287,
Auto,3,3,US 1 / US 23 / US 301,11558,10012,0.5791635332909122,10012,0.5791635332909122,,
Auto,3,3,SR 2,11557,1750,0.10123213975819981,1750,0.10123213975819981,,
Auto,3,3,,11556,3000,0.1735408110140568,3000,0.1735408110140568,,
Auto,3,3,,11555,225,0.01301556082605426,225,0.01301556082605426,,
