TAZ,STATE,COUNTY,DMA,STL_Zone,region,CBM_Ext
8201,Florida,Escambia,1,41,1_Northwest,11503
8037,Florida,Nassau,3,110,3_Northeast,11557
8198,Florida,Escambia,1,41,1_Northwest,11503
8362,Florida,Okaloosa,1,114,1_Northwest,11515
7689,Florida,Baker,3,4,3_Northeast,11554
8197,Florida,Escambia,1,41,1_Northwest,11503
8367,Florida,Okaloosa,1,114,1_Northwest,11515
8097,Florida,Walton,1,161,1_Northwest,11515
8206,Florida,Escambia,1,41,1_Northwest,11503
8209,Florida,Escambia,1,41,1_Northwest,11503
7737,Florida,Calhoun,1,19,1_Northwest,11530
8205,Florida,Escambia,1,41,1_Northwest,11503
7978,Florida,Leon,2,85,2_North Central,11540
7715,Florida,Jefferson,2,207,2_North Central,11542
8210,Florida,Escambia,1,41,1_Northwest,11503
8025,Florida,Hamilton,2,53,2_North Central,11547
7966,Florida,Leon,2,87,2_North Central,11538
8542,Florida,Gadsden,2,46,2_North Central,11528
8207,Florida,Escambia,1,41,1_Northwest,11503
8203,Florida,Escambia,1,41,1_Northwest,11503
8214,Florida,Escambia,1,41,1_Northwest,11503
8043,Florida,Nassau,3,109,3_Northeast,11559
8365,Florida,Okaloosa,1,114,1_Northwest,11515
8213,Florida,Escambia,1,41,1_Northwest,11503
8096,Florida,Walton,1,161,1_Northwest,11520
7975,Florida,Leon,2,85,2_North Central,11540
7979,Florida,Leon,2,85,2_North Central,11540
8545,Florida,Gadsden,2,47,2_North Central,11528
7741,Florida,Calhoun,1,19,1_Northwest,11530
8215,Florida,Escambia,1,41,1_Northwest,11503
8208,Florida,Escambia,1,40,1_Northwest,11502
7787,Florida,Madison,2,208,2_North Central,11544
8543,Florida,Gadsden,2,47,2_North Central,11528
8211,Florida,Escambia,1,40,1_Northwest,11503
8212,Florida,Escambia,1,41,1_Northwest,11503
8546,Florida,Gadsden,2,47,2_North Central,11528
7072,Florida,Liberty,1,89,1_Northwest,11534
6894,Florida,Columbia,2,31,2_North Central,11553
8217,Florida,Escambia,1,41,1_Northwest,11503
8216,Florida,Escambia,1,41,1_Northwest,11503
8218,Florida,Escambia,1,41,1_Northwest,11503
6895,Florida,Columbia,2,31,2_North Central,11553
8018,Florida,Hamilton,2,53,2_North Central,11553
8042,Florida,Nassau,3,110,3_Northeast,11558
7662,Florida,Bay,1,7,1_Northwest,11529
8222,Florida,Escambia,1,40,1_Northwest,11502
8223,Florida,Escambia,1,40,1_Northwest,11502
8099,Florida,Walton,1,161,1_Northwest,11515
7977,Florida,Leon,2,85,2_North Central,11540
7788,Florida,Madison,2,208,2_North Central,11547
8219,Florida,Escambia,1,41,1_Northwest,11503
8225,Florida,Escambia,1,41,1_Northwest,11503
8374,Florida,Okaloosa,1,114,1_Northwest,11515
8220,Florida,Escambia,1,41,1_Northwest,11503
8021,Florida,Hamilton,2,53,2_North Central,11547
8024,Florida,Hamilton,2,53,2_North Central,11552
8370,Florida,Okaloosa,1,114,1_Northwest,11515
7717,Florida,Jefferson,2,207,2_North Central,11542
7789,Florida,Madison,2,208,2_North Central,11547
8368,Florida,Okaloosa,1,114,1_Northwest,11515
8221,Florida,Escambia,1,41,1_Northwest,11503
8372,Florida,Okaloosa,1,114,1_Northwest,11515
8046,Florida,Nassau,3,109,3_Northeast,11559
8548,Florida,Gadsden,2,46,2_North Central,11528
8027,Florida,Hamilton,2,53,2_North Central,11547
8547,Florida,Gadsden,2,47,2_North Central,11538
8226,Florida,Escambia,1,41,1_Northwest,11503
8045,Florida,Nassau,3,110,3_Northeast,11559
8224,Florida,Escambia,1,41,1_Northwest,11503
8539,Florida,Gadsden,2,47,2_North Central,11538
8026,Florida,Hamilton,2,53,2_North Central,11552
8228,Florida,Escambia,1,41,1_Northwest,11503
8232,Florida,Escambia,1,40,1_Northwest,11502
8549,Florida,Gadsden,2,47,2_North Central,11528
8229,Florida,Escambia,1,41,1_Northwest,11503
