TAZ,STATE,COUNTY,DMA,STL_Zone,region,CBM_Ext
8649,Florida,Jackson,1,74,1_Northwest,11530
8522,Florida,Washington,1,163,1_Northwest,11525
8478,Florida,Santa Rosa,1,138,1_Northwest,11509
8296,Florida,Escambia,1,40,1_Northwest,11505
8524,Florida,Washington,1,163,1_Northwest,11525
8646,Florida,Jackson,1,73,1_Northwest,11530
8525,Florida,Washington,1,163,1_Northwest,11529
8687,Florida,Holmes,1,69,1_Northwest,11520
8520,Florida,Washington,1,163,1_Northwest,11525
8690,Florida,Holmes,1,70,1_Northwest,11525
8396,Florida,Okaloosa,1,114,1_Northwest,11515
8523,Florida,Washington,1,163,1_Northwest,11525
8651,Florida,Jackson,1,74,1_Northwest,11529
8653,Florida,Jackson,1,74,1_Northwest,11530
8650,Florida,Jackson,1,74,1_Northwest,11529
8527,Florida,Washington,1,163,1_Northwest,11525
8691,Florida,Holmes,1,69,1_Northwest,11520
8528,Florida,Washington,1,163,1_Northwest,11529
8394,Florida,Okaloosa,1,114,1_Northwest,11515
